entry_id,entry_tag,entrytag_id,parent_tag_id,level,path,approved
184,Chinese Buddhist Traditions,65,14.0,3,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65],True
184,Chinese Religion,123,8.0,2,Religious Group[8]->Chinese Religion[123],True
185,Religious Group,8,,1,Religious Group[8],True
185,Japanese Religions,26,8.0,2,Religious Group[8]->Japanese Religions[26],True
185,Shintō,297,8.0,2,Religious Group[8]->Shintō[297],True
185,Shintō,368,26.0,3,Religious Group[8]->Japanese Religions[26]->Shintō[368],True
185,New Religious Movements,370,368.0,4,Religious Group[8]->Japanese Religions[26]->Shintō[368]->New Religious Movements[370],True
185,New Religious Movements,398,297.0,3,Religious Group[8]->Shintō[297]->New Religious Movements[398],True
186,Religious Group,8,,1,Religious Group[8],True
186,Buddhist Traditions,14,8.0,2,Religious Group[8]->Buddhist Traditions[14],True
186,Chinese Buddhist Traditions,65,14.0,3,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65],True
186,Chinese Religion,123,8.0,2,Religious Group[8]->Chinese Religion[123],True
186,Chinese Buddhist Traditions,383,123.0,3,Religious Group[8]->Chinese Religion[123]->Chinese Buddhist Traditions[383],True
187,Religious Group,8,,1,Religious Group[8],True
187,Chinese Religion,123,8.0,2,Religious Group[8]->Chinese Religion[123],True
187,Chinese State Religion,128,123.0,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],True
187,Shang Religion / Western Zhou Religion,129,128.0,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Shang Religion / Western Zhou Religion[129],True
189,Religious Group,8,,1,Religious Group[8],True
189,Jewish Traditions,27,8.0,2,Religious Group[8]->Jewish Traditions[27],True
190,Religious Group,8,,1,Religious Group[8],True
190,Buddhist Traditions,14,8.0,2,Religious Group[8]->Buddhist Traditions[14],True
191,Religious Group,8,,1,Religious Group[8],True
191,Sikhism,44,8.0,2,Religious Group[8]->Sikhism[44],True
192,Religious Group,8,,1,Religious Group[8],True
192,Oceanic Religions,40,8.0,2,Religious Group[8]->Oceanic Religions[40],True
192,Melanesia,311,40.0,3,Religious Group[8]->Oceanic Religions[40]->Melanesia[311],True
192,Fijian Religons,312,311.0,4,Religious Group[8]->Oceanic Religions[40]->Melanesia[311]->Fijian Religons[312],True
193,Religious Group,8,,1,Religious Group[8],True
193,Oceanic Religions,40,8.0,2,Religious Group[8]->Oceanic Religions[40],True
193,Melanesia,311,40.0,3,Religious Group[8]->Oceanic Religions[40]->Melanesia[311],True
193,Fijian Religons,312,311.0,4,Religious Group[8]->Oceanic Religions[40]->Melanesia[311]->Fijian Religons[312],True
195,Religious Group,8,,1,Religious Group[8],True
195,Hinduism,1244,8.0,2,Religious Group[8]->Hinduism[1244],True
195,Shaktism,1327,1244.0,3,Religious Group[8]->Hinduism[1244]->Shaktism[1327],True
196,Religious Group,8,,1,Religious Group[8],True
196,Christian Traditions,18,8.0,2,Religious Group[8]->Christian Traditions[18],True
196,Greek Religions,22,8.0,2,Religious Group[8]->Greek Religions[22],True
196,Roman Religious Traditions,42,8.0,2,Religious Group[8]->Roman Religious Traditions[42],True
196,Ancient Christianity in Rome,730,42.0,3,Religious Group[8]->Roman Religious Traditions[42]->Ancient Christianity in Rome[730],True
197,Religious Group,8,,1,Religious Group[8],True
197,Buddhist Traditions,14,8.0,2,Religious Group[8]->Buddhist Traditions[14],True
197,Tibetan Buddhist Traditions,116,14.0,3,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116],True
197,Geluk sect (dge lugs),117,116.0,4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Geluk sect (dge lugs)[117],True
198,Religious Group,8,,1,Religious Group[8],True
198,Greek Religions,22,8.0,2,Religious Group[8]->Greek Religions[22],True
199,Religious Group,8,,1,Religious Group[8],True
199,Mithraism,36,8.0,2,Religious Group[8]->Mithraism[36],True
199,Roman Religious Traditions,42,8.0,2,Religious Group[8]->Roman Religious Traditions[42],True
200,Religious Group,8,,1,Religious Group[8],True
200,Buddhist Traditions,14,8.0,2,Religious Group[8]->Buddhist Traditions[14],True
200,Tibetan Buddhist Traditions,116,14.0,3,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116],True
200,Geluk sect (dge lugs),117,116.0,4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Geluk sect (dge lugs)[117],True
200,Nyingma sect (rnying ma),119,116.0,4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Nyingma sect (rnying ma)[119],True
200,Sakya sect (sa skya),121,116.0,4,Religious Group[8]->Buddhist Traditions[14]->Tibetan Buddhist Traditions[116]->Sakya sect (sa skya)[121],True
201,Religious Group,8,,1,Religious Group[8],True
201,Anatolian Religions,10,8.0,2,Religious Group[8]->Anatolian Religions[10],True
201,Egyptian Religions,20,8.0,2,Religious Group[8]->Egyptian Religions[20],True
201,Greek Religions,22,8.0,2,Religious Group[8]->Greek Religions[22],True
201,Mithraism,36,8.0,2,Religious Group[8]->Mithraism[36],True
201,Roman Religious Traditions,42,8.0,2,Religious Group[8]->Roman Religious Traditions[42],True
201,Roman State Religions,299,42.0,3,Religious Group[8]->Roman Religious Traditions[42]->Roman State Religions[299],True
201,Republican Religions,506,299.0,4,Religious Group[8]->Roman Religious Traditions[42]->Roman State Religions[299]->Republican Religions[506],True
201,Ancient Christianity in Rome,730,42.0,3,Religious Group[8]->Roman Religious Traditions[42]->Ancient Christianity in Rome[730],True
201,Diaspora Judaism in Rome,731,42.0,3,Religious Group[8]->Roman Religious Traditions[42]->Diaspora Judaism in Rome[731],True
201,Greek Religions in Rome,733,42.0,3,Religious Group[8]->Roman Religious Traditions[42]->Greek Religions in Rome[733],True
201,Roman Private Religions,736,42.0,3,Religious Group[8]->Roman Religious Traditions[42]->Roman Private Religions[736],True
201,Imperial Cult (emperor worship),740,299.0,4,Religious Group[8]->Roman Religious Traditions[42]->Roman State Religions[299]->Imperial Cult (emperor worship)[740],True
202,Religious Group,8,,1,Religious Group[8],True
202,Chinese Religion,123,8.0,2,Religious Group[8]->Chinese Religion[123],True
203,Religious Group,8,,1,Religious Group[8],True
203,Chinese Religion,123,8.0,2,Religious Group[8]->Chinese Religion[123],True
204,Religious Group,8,,1,Religious Group[8],True
204,Chinese Religion,123,8.0,2,Religious Group[8]->Chinese Religion[123],True
204,Chinese State Religion,128,123.0,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],True
204,Han Imperial Confucianism,130,128.0,4,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128]->Han Imperial Confucianism[130],True
204,Confucian (rujia 儒家) Traditions,131,123.0,3,Religious Group[8]->Chinese Religion[123]->Confucian (rujia 儒家) Traditions[131],True
207,Religious Group,8,,1,Religious Group[8],True
207,Chinese Religion,123,8.0,2,Religious Group[8]->Chinese Religion[123],True
207,Chinese Buddhist Traditions,383,123.0,3,Religious Group[8]->Chinese Religion[123]->Chinese Buddhist Traditions[383],True
209,Religious Group,8,,1,Religious Group[8],True
209,Egyptian Religions,20,8.0,2,Religious Group[8]->Egyptian Religions[20],True
210,Religious Group,8,,1,Religious Group[8],True
210,Roman Religious Traditions,42,8.0,2,Religious Group[8]->Roman Religious Traditions[42],True
210,Ancient Christianity in Rome,730,42.0,3,Religious Group[8]->Roman Religious Traditions[42]->Ancient Christianity in Rome[730],True
211,Religious Group,8,,1,Religious Group[8],True
211,Egyptian Religions,20,8.0,2,Religious Group[8]->Egyptian Religions[20],True
212,Religious Group,8,,1,Religious Group[8],True
212,Chinese Religion,123,8.0,2,Religious Group[8]->Chinese Religion[123],True
216,Religious Group,8,,1,Religious Group[8],True
216,Assyrian Religions,11,8.0,2,Religious Group[8]->Assyrian Religions[11],True
216,Mesopotamian Religions,34,8.0,2,Religious Group[8]->Mesopotamian Religions[34],True
216,Sumerian Religions,46,8.0,2,Religious Group[8]->Sumerian Religions[46],True
216,Akkadian Religions,330,34.0,3,Religious Group[8]->Mesopotamian Religions[34]->Akkadian Religions[330],True
216,Babylonian Religions,332,34.0,3,Religious Group[8]->Mesopotamian Religions[34]->Babylonian Religions[332],True
216,Old Babylonian Religions,333,34.0,3,Religious Group[8]->Mesopotamian Religions[34]->Old Babylonian Religions[333],True
217,Religious Group,8,,1,Religious Group[8],True
217,Italic Religions,751,8.0,2,Religious Group[8]->Italic Religions[751],True
217,Ancient Mediterranean,776,8.0,2,Religious Group[8]->Ancient Mediterranean[776],True
217,Roman Religions,900,8.0,2,Religious Group[8]->Roman Religions[900],True
217,Polytheistic,1300,8.0,2,Religious Group[8]->Polytheistic[1300],True
222,Religious Group,8,,1,Religious Group[8],True
222,Mesoamerican Religions,33,8.0,2,Religious Group[8]->Mesoamerican Religions[33],True
222,Mayan Religions,340,33.0,3,Religious Group[8]->Mesoamerican Religions[33]->Mayan Religions[340],True
224,Religious Group,8,,1,Religious Group[8],True
224,Germanic Religions,21,8.0,2,Religious Group[8]->Germanic Religions[21],True
227,Religious Group,8,,1,Religious Group[8],True
227,Indic Religious Traditions,510,8.0,2,Religious Group[8]->Indic Religious Traditions[510],True
227,Hinduism,566,510.0,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],True
227,Hindu Śākta traditions,643,566.0,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Hindu Śākta traditions[643],True
227,Bhakti traditions,645,566.0,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Bhakti traditions[645],True
228,Religious Group,8,,1,Religious Group[8],True
228,Korean Religions,28,8.0,2,Religious Group[8]->Korean Religions[28],True
228,Korean Confucianism,356,28.0,3,Religious Group[8]->Korean Religions[28]->Korean Confucianism[356],True
230,Religious Group,8,,1,Religious Group[8],True
230,Assyrian Religions,11,8.0,2,Religious Group[8]->Assyrian Religions[11],True
230,Mesopotamian Religions,34,8.0,2,Religious Group[8]->Mesopotamian Religions[34],True
230,Babylonian Religions,332,34.0,3,Religious Group[8]->Mesopotamian Religions[34]->Babylonian Religions[332],True
231,Religious Group,8,,1,Religious Group[8],True
231,Roman Religious Traditions,42,8.0,2,Religious Group[8]->Roman Religious Traditions[42],True
231,Roman Private Religions,736,42.0,3,Religious Group[8]->Roman Religious Traditions[42]->Roman Private Religions[736],True
232,Religious Group,8,,1,Religious Group[8],True
232,Egyptian Religions,20,8.0,2,Religious Group[8]->Egyptian Religions[20],True
233,Religious Group,8,,1,Religious Group[8],True
233,African Religions,9,8.0,2,Religious Group[8]->African Religions[9],True
233,Egyptian Religions,20,8.0,2,Religious Group[8]->Egyptian Religions[20],True
234,Religious Group,8,,1,Religious Group[8],True
234,African Religions,9,8.0,2,Religious Group[8]->African Religions[9],True
236,Religious Group,8,,1,Religious Group[8],True
236,African Religions,9,8.0,2,Religious Group[8]->African Religions[9],True
237,Religious Group,8,,1,Religious Group[8],True
237,African Religions,9,8.0,2,Religious Group[8]->African Religions[9],True
238,Religious Group,8,,1,Religious Group[8],True
238,African Religions,9,8.0,2,Religious Group[8]->African Religions[9],True
239,Religious Group,8,,1,Religious Group[8],True
239,African Religions,9,8.0,2,Religious Group[8]->African Religions[9],True
240,Religious Group,8,,1,Religious Group[8],True
240,Chinese Religion,123,8.0,2,Religious Group[8]->Chinese Religion[123],True
240,Chinese State Religion,128,123.0,3,Religious Group[8]->Chinese Religion[123]->Chinese State Religion[128],True
244,Religious Group,8,,1,Religious Group[8],True
244,Japanese Religions,26,8.0,2,Religious Group[8]->Japanese Religions[26],True
244,Japanese Confucianism,410,26.0,3,Religious Group[8]->Japanese Religions[26]->Japanese Confucianism[410],True
244,Japanese Neo-Confucianism,411,410.0,4,Religious Group[8]->Japanese Religions[26]->Japanese Confucianism[410]->Japanese Neo-Confucianism[411],True
245,Religious Group,8,,1,Religious Group[8],True
245,Chinese Religion,123,8.0,2,Religious Group[8]->Chinese Religion[123],True
245,Confucian (rujia 儒家) Traditions,131,123.0,3,Religious Group[8]->Chinese Religion[123]->Confucian (rujia 儒家) Traditions[131],True
245,Pre-Qin Confucian Traditions,132,131.0,4,Religious Group[8]->Chinese Religion[123]->Confucian (rujia 儒家) Traditions[131]->Pre-Qin Confucian Traditions[132],True
246,Religious Group,8,,1,Religious Group[8],True
246,African Religions,9,8.0,2,Religious Group[8]->African Religions[9],True
247,Religious Group,8,,1,Religious Group[8],True
247,African Religions,9,8.0,2,Religious Group[8]->African Religions[9],True
249,Religious Group,8,,1,Religious Group[8],True
249,Shamanism,904,8.0,2,Religious Group[8]->Shamanism[904],True
250,Religious Group,8,,1,Religious Group[8],True
250,Buddhist Traditions,14,8.0,2,Religious Group[8]->Buddhist Traditions[14],True
250,Chinese Buddhist Traditions,65,14.0,3,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65],True
250,Tiantai school (tiantai zong 天台宗),77,65.0,4,Religious Group[8]->Buddhist Traditions[14]->Chinese Buddhist Traditions[65]->Tiantai school (tiantai zong 天台宗)[77],True
252,Religious Group,8,,1,Religious Group[8],True
252,African Religions,9,8.0,2,Religious Group[8]->African Religions[9],True
255,Religious Group,8,,1,Religious Group[8],True
255,Chinese Religion,123,8.0,2,Religious Group[8]->Chinese Religion[123],True
256,Religious Group,8,,1,Religious Group[8],True
256,Roman Religious Traditions,42,8.0,2,Religious Group[8]->Roman Religious Traditions[42],True
256,Italic Religions,734,42.0,3,Religious Group[8]->Roman Religious Traditions[42]->Italic Religions[734],True
